,ID,Variable type,Short Name,Latex Name,Description,Distribution,Distribution parameters,Units
0,fp_Decaylength_TCRP3,Free parameter,Decaylength,$$Decaylength^{TCRP}$$,Decay length of active Lck in nm.,Normal,"{'mu': '100.0', 'sd': '50.0'}",nm
1,fp_Depletion_TCRP3,Free parameter,Depletion,$$Depletion^{TCRP}$$,Depletion distsance between TCR and CD45,Normal,"{'mu': '100.0', 'sd': '50.0'}",$$kTnm^2$$
2,rv_a_PhosRatio_TCRP3,Random variable,a,-,a,Normal,"{'mu': '0.1', 'sd': '0.1'}",$$nm$$
3,rv_xScale_PhosRatio_TCRP3,Random variable,xScale,nm,xScale,Normal,"{'mu': '0.9', 'sd': '0.2'}",$$nm$$
4,rv_xCen_PhosRatio_TCRP3,Random variable,xCen,nm,xCen,Normal,"{'mu': '110.0', 'sd': '30.0'}",$$nm$$
5,rv_xDev_PhosRatio_TCRP3,Random variable,xDev,-,xDev,Normal,"{'mu': '40.0', 'sd': '10.0'}",$$nm$$
6,rv_yScale_PhosRatio_TCRP3,Random variable,yScale,nm,yScale,Normal,"{'mu': '-0.5', 'sd': '0.2'}",$$nm$$
7,rv_yCen_PhosRatio_TCRP3,Random variable,yCen,nm,yCen,Normal,"{'mu': '100.0', 'sd': '20.0'}",$$nm$$
8,rv_yDev_PhosRatio_TCRP3,Random variable,yDev,-,yDev,Normal,"{'mu': '80.0', 'sd': '20.0'}",$$nm$$
9,rv_output_PhosRatio_TCRP3,Random variable,output,$$PhosRatio^{TCRP}_{output}$$,PhosRatio output,Normal,"{'mu': '', 'sd': '0.5'}",$$nm$$
