,ID,Variable type,Short Name,Latex Name,Description,Distribution,Distribution parameters,Units
0,fp_Decaylength_TCRP4,Free parameter,Decaylength,$$Decaylength^{TCRP}$$,Decay length of active Lck in nm.,Normal,"{'mu': '100.0', 'sd': '50.0'}",nm
1,fp_Depletion_TCRP4,Free parameter,Depletion,$$Depletion^{TCRP}$$,Depletion distsance between TCR and CD45,Normal,"{'mu': '100.0', 'sd': '50.0'}",nm
2,rv_a_RgRatio_TCRP4,Random variable,a,-,a,Normal,"{'mu': '0.8', 'sd': '0.2'}",$$nm$$
3,rv_xScale_RgRatio_TCRP4,Random variable,xScale,nm,xScale,Normal,"{'mu': '0.9', 'sd': '0.2'}",$$nm$$
4,rv_xCen_RgRatio_TCRP4,Random variable,xCen,nm,xCen,Normal,"{'mu': '70.0', 'sd': '30.0'}",$$nm$$
5,rv_xDev_RgRatio_TCRP4,Random variable,xDev,-,xDev,Normal,"{'mu': '-45.0', 'sd': '10.0'}",$$nm$$
6,rv_yScale_RgRatio_TCRP4,Random variable,yScale,nm,yScale,Normal,"{'mu': '-0.4', 'sd': '0.2'}",$$nm$$
7,rv_yCen_RgRatio_TCRP4,Random variable,yCen,nm,yCen,Normal,"{'mu': '10.0', 'sd': '5.0'}",$$nm$$
8,rv_yDev_RgRatio_TCRP4,Random variable,yDev,-,yDev,Normal,"{'mu': '100.0', 'sd': '20.0'}",$$nm$$
9,rv_output_RgRatio_TCRP4,Random variable,output,$$RgRatio^{TCRP}_{output}$$,RgRatio output,Normal,"{'mu': '', 'sd': '0.5'}",$$nm$$
